2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 27/139: grid_20251201_172119_691330_000270.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 28/139: grid_20251201_172119_691330_000280.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 29/139: grid_20251201_172119_691330_000290.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 30/139: grid_20251201_172119_691330_000299.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 31/139: grid_20251201_172119_691330_000309.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 32/139: grid_20251201_172119_691330_000319.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 33/139: grid_20251201_172119_691330_000329.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 34/139: grid_20251201_172119_691330_000339.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 35/139: grid_20251201_172119_691330_000349.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 36/139: grid_20251201_172119_691330_000359.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 37/139: grid_20251201_172119_691330_000369.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 38/139: grid_20251201_172119_691330_000379.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 39/139: grid_20251201_172119_691330_000389.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 40/139: grid_20251201_172119_691330_000399.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 41/139: grid_20251201_172119_691330_000409.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 42/139: grid_20251201_172119_691330_000419.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 43/139: grid_20251201_172119_691330_000429.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 44/139: grid_20251201_172119_691330_000439.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 45/139: grid_20251201_172119_691330_000449.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 46/139: grid_20251201_172119_691330_000459.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 47/139: grid_20251201_172119_691330_000469.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 48/139: grid_20251201_172119_691330_000479.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 49/139: grid_20251201_172119_691330_000489.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 50/139: grid_20251201_172119_691330_000499.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 51/139: grid_20251201_172119_691330_000509.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 52/139: grid_20251201_172119_691330_000519.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 53/139: grid_20251201_172119_691330_000529.npy
