2025-12-22 10:58:05 | MainThread   | INFO     | [10.16] 模拟时间:1.51 深度:0.021 弹性变形:-0.2094  执行器力: 1.49 0.69N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [10.23] 模拟时间:1.52 深度:0.021 弹性变形:-0.2114  执行器力: 1.48 0.70N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.30] 模拟时间:1.53 深度:0.021 弹性变形:-0.2134  执行器力: 1.48 0.70N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.37] 模拟时间:1.54 深度:0.021 弹性变形:-0.2154  执行器力: 1.48 0.71N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.45] 模拟时间:1.55 深度:0.020 弹性变形:-0.2175  执行器力: 1.47 0.71N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.52] 模拟时间:1.56 深度:0.020 弹性变形:-0.2195  执行器力: 1.47 0.71N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.59] 模拟时间:1.57 深度:0.020 弹性变形:-0.2216  执行器力: 1.46 0.72N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.66] 模拟时间:1.58 深度:0.020 弹性变形:-0.2237  执行器力: 1.46 0.72N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.74] 模拟时间:1.59 深度:0.020 弹性变形:-0.2257  执行器力: 1.46 0.73N 速度: -0.0100m/s
2025-12-22 10:58:06 | MainThread   | INFO     | [10.81] 模拟时间:1.60 深度:0.020 弹性变形:-0.2278  执行器力: 1.45 0.73N 速度: -0.0100m/s
